Never Said Goodbye,Tình cảm
Nights in Rodanthe,Tình cảm
No Strings Attached,Tình cảm
The Notebook,Tình cảm
Notting Hill,Tình cảm
One Day,Tình cảm
One Step Away,Tình cảm
O Kadhal Kanmani,Tình cảm
Otoko no IsshÅ,Tình cảm
The Palm Beach Story,Tình cảm
Paper Towns,Tình cảm
Parineeta,Tình cảm
Pearl Harbor,Tình cảm
The Phantom of the Opera,Tình cảm
Pompeii,Tình cảm
Pride and Prejudice,Tình cảm
The Princess Diaries,Tình cảm
The Proposal,Tình cảm
P.S. I Love You,Tình cảm
Punch-Drunk Love,Tình cảm
The Queens,Tình cảm
The Reader,Tình cảm
Relationship Dilemma,Tình cảm
Reds,Tình cảm
Remember Me,Tình cảm
Roja,Tình cảm
Romeo + Juliet,Tình cảm
Romeo and Juliet,Tình cảm
The Room,Tình cảm
Safe Haven,Tình cảm
Say Anything,Tình cảm
(Sex) Appeal,Tình cảm
Scott Pilgrim vs. The World,Tình cảm
Sex Life of Plants,Tình cảm
Shakespeare in Love,Tình cảm
Singin' in the Rain,Tình cảm
Sleepless in Seattle,Tình cảm
Shelter,Tình cảm
Slumdog Millionaire,Tình cảm
Something Borrowed,Tình cảm
Something's Gotta Give,Tình cảm
Somewhere in Time,Tình cảm
The Song of the Blood-Red Flower,Tình cảm
Sophie's Choice,Tình cảm
Sorry,Tình cảm
South of the Clouds,Tình cảm
Spicy Hot in Love,Tình cảm
Splash,Tình cảm
Spring,Tình cảm
Sundays at Tiffany's,Tình cảm
Sunrise: A Song of Two Humans,Tình cảm
Swiss Army Man,Tình cảm
The Shape of Water,Tình cảm
The Twilight Saga,Tình cảm
Titanic,Tình cảm
Tristan & Isolde,Tình cảm
The Vow,Tình cảm
A Walk to Remember,Tình cảm
Warm Bodies,Tình cảm
Water for Elephants,Tình cảm
When Harry Met Sally...,Tình cảm
Where the Heart Is,Tình cảm
Who Moved My Dream,Tình cảm
Wimbledon,Tình cảm
Working Girl,Tình cảm
World of Delight,Tình cảm
While You Were Sleeping,Tình cảm
Written on the Wind,Tình cảm
You Are My Sunshine,Tình cảm
You've Got Mail,Tình cảm
Zama Arman,Tình cảm
1 Night in San Diego,Hài hước
3 Monkeys,Hài hước
23 Walks,Hài hước
Airplane Mode,Hài hước
Bad Boys for Life,Hài hước
Bad Trip,Hài hước
Berlin, Berlin,Hài hước
Bheeshma,Hài hước
Bill & Ted Face the Music,Hài hước
Birds of Prey,Hài hước
Blithe Spirit,Hài hước
Borat Subsequent Moviefilm,Hài hước
Chick Fight,Hài hước
Coastal Elites,Hài hước
Cocktail,Hài hước
Coffee & Kareem,Hài hước
Coolie No. 1,Hài hước
Crazy Awesome Teachers,Hài hước
Curveball,Hài hước
Downhill,Hài hước
Emma,Hài hước
Enter the Fat Dragon,Hài hước
Feel the Beat,Hài hước
Friend of the World,Hài hước
Guns Akimbo,Hài hước
Hubie Halloween,Hài hước
Impractical Jokers: The Movie,Hài hước
Like a Boss,Hài hước
Magic Camp,Hài hước
Mighty Oak,Hài hước
My Spy,Hài hước
Naan Sirithal,Hài hước
Ok, It's Fineâ€¦,Hài hước
On the Rocks,Hài hước
Over the Moon,Hài hước
Palm Springs,Hài hước
Players,Hài hước
Reboot Camp,Hài hước
Sarileru Neekevvaru,Hài hước
Seriously Single,Hài hước
She Dies Tomorrow,Hài hước
Sonic the Hedgehog,Hài hước
Soul,Hài hước
Spenser Confidential,Hài hước
Superintelligence,Hài hước
The Croods: A New Age,Hài hước
The Gentlemen,Hài hước
The King of Staten Island,Hài hước
The Kissing Booth 2,Hài hước
The Lovebirds,Hài hước
The Players,Hài hước
The Princess Switch: Switched Again,Hài hước
The Prom,Hài hước
The Sleepover,Hài hước
The Thing About Harry,Hài hước
The Wrong Missy,Hài hước
Timmy Failure: Mistakes Were Made,Hài hước
To All the Boys: P.S. I Still Love You,Hài hước
Tolo Tolo,Hài hước
Trolls: World Tour,Hài hước
Valley Girl,Hài hước
Work It,Hài hước
14 Phere,Hài hước
Aaraattu,Hài hước
Barb and Star Go to Vista Del Mar,Hài hước
Bhool Bhulaiyaa 2,Hài hước
Big Red Envelope,Hài hước
Breaking News in Yuba County,Hài hước
Clifford the Big Red Dog,Hài hước
Coming 2 America,Hài hước
Don't Look Up,Hài hước
Flora & Ulysses,Hài hước
Free Guy,Hài hước
Ghostbusters: Afterlife,Hài hước
He's All That,Hài hước
Hi, Mom,Hài hước
Locked Down,Hài hước
Peter Rabbit 2: The Runaway,Hài hước
Princess DayaReese,Hài hước
Rang De,Hài hước
Red Notice,Hài hước
Rumble,Hài hước
Sing 2,Hài hước
South Park: Post Covid,Hài hước
South Park: Post COVID: The Return of COVID,Hài hước
Space Jam: A New Legacy,Hài hước
The Addams Family 2,Hài hước
The Boss Baby: Family Business,Hài hước
The Hitman's Wife's Bodyguard,Hài hước
The King's Man,Hài hước
The Kissing Booth 3,Hài hước
The Last Mercenary,Hài hước
The Last Warrior: Root of Evil,Hài hước
The Last Warrior 3,Hài hước
The Princess Switch 3,Hài hước
Red Rocket,Hài hước
The Starling,Hài hước
Thunder Force,Hài hước
To All the Boys: Always and Forever, Lara Jean,Hài hước
Tom and Jerry,Hài hước
Yes Day,Hài hước
Werewolves Within,Hài hước
Zombie Reddy,Hài hước
13: The Musical,Hài hước
A Man Called Otto,Hài hước
About Fate,Hài hước
Amsterdam,Hài hước
Another Me,Hài hước
Anything's Possible,Hài hước
Beavis and Butt-Head Do the Universe,Hài hước
Bhediya,Hài hước
Bob's Burgers: The Movie,Hài hước
Bros,Hài hước
Cheaper by the Dozen,Hài hước
Chip 'n Dale: Rescue Rangers,Hài hước
DC League of Super-Pets,Hài hước
Disenchanted,Hài hước
Do Revenge,Hài hước
Dog,Hài hước
Easter Sunday,Hài hước
Everything Everywhere All at Once,Hài hước
Hocus Pocus 2,Hài hước
Hotel Transylvania: Transformania,Hài hước
Jackass Forever,Hài hước
KillRoy Was Here,Hài hước
Kung Fu Ghost,Hài hước
Laal Singh Chaddha,Hài hước
Luck,Hài hước
Marry Me,Hài hước
Minions: The Rise of Gru,Hài hước
My Best Friend's Exorcism,Hài hước
Paws of Fury: The Legend of Hank,Hài hước
Puss in Boots: The Last Wish,Hài hước
Rosaline,Hài hước
Secret Headquarters,Hài hước
Sneakerella,Hài hước
Sonic the Hedgehog 2,Hài hước
South Park: The Streaming Wars,Hài hước
South Park: The Streaming Wars Part 2,Hài hước
Tall Girl 2,Hài hước
The Bad Guys,Hài hước
The Man from Toronto,Hài hước
The Out-Laws,Hài hước
The Valet,Hài hước
Thor: Love and Thunder,Hài hước
Ticket to Paradise,Hài hước
Too Cool to Kill,Hài hước
Tower of Strength,Hài hước
Wendell & Wild,Hài hước
White Noise,Hài hước
Ant-Man and the Wasp: Quantumania,Hài hước
Are You There God? It's Me, Margaret.,Hài hước
Beau Is Afraid,Hài hước
Bottoms,Hài hước
Dungeons & Dragons: Honor Among Thieves,Hài hước
Five Hundred Miles,Hài hước
Ghostbusters: Afterlife 2,Hài hước
Guardians of the Galaxy Vol. 3,Hài hước
Migration,Hài hước
Next Goal Wins,Hài hước
No Hard Feelings,Hài hước
Red One,Hài hước
Renfield,Hài hước
Shazam! Fury of the Gods,Hài hước
Shotgun Wedding,Hài hước
Spider-Man: Across the Spider-Verse,Hài hước
Strays,Hài hước
Teenage Mutant Ninja Turtles: Mutant Mayhem,Hài hước
The Palace,Hài hước
The Super Mario Bros. Movie,Hài hước
Trolls Band Together,Hài hước
Deadpool 3,Hài hước
Despicable Me 4,Hài hước
Garfield,Hài hước
If,Hài hước
Kung Fu Panda 4,Hài hước
Sonic the Hedgehog 3,Hài hước
Spider-Man: Beyond the Spider-Verse,Hài hước
The Cat in the Hat,Hài hước
Wicked,Hài hước
Wicked: Part 2,Hài hước
Thing One and Thing Two,Hài hước
Oh, the Places You'll Go!,Hài hước
