Keywords,Value
đầy kỹ thuật,0.7
kỹ thuật,0.5
không kỹ thuật,-0.5
chẳng kỹ thuật,-1
nhà thám hiểm,0.5
cháy ,0.5
vô cùng mạnh mẽ,1
cực kì mạnh mẽ,0.95
quá mạnh mẽ,0.9
rất mạnh mẽ,0.85
khá mạnh mẽ,0.8
đầy mạnh mẽ,0.7
đủ mạnh mẽ,0.6
mạnh mẽ,0.5
không mạnh mẽ,-0.5
chẳng mạnh mẽ,-1
vô cùng nhanh nhạy,1
cực kì nhanh nhạy,0.95
quá nhanh nhạy,0.9
rất nhanh nhạy,0.85
khá nhanh nhạy,0.8
đầy nhanh nhạy,0.7
nhanh nhạy,0.5
không nhanh nhạy,-0.5
chẳng nhanh nhạy,-1
biệt đội,0.5
khủng bố,0.5
vô cùng tinh nhuệ,1
cực kì tinh nhuệ,0.95
quá tinh nhuệ,0.9
rất tinh nhuệ,0.85
khá tinh nhuệ,0.8
đầy tinh nhuệ,0.7
tinh nhuệ,0.5
không tinh nhuệ,-0.5
chẳng tinh nhuệ,-1
cảnh nổ bom,0.5
đuổi bắt,0.5
vụ nổ,0.5
gián điệp,0.5
hiệp sĩ,0.5
xung đột,0.5
cảnh sát,0.5
sát thủ ,0.5
siêu anh hùng,0.5
súng đạn,0.5
bom,0.5
nhiệm vụ bí mật,0.5
đặc nhiệm,0.5
xâm nhập,0.5
vượt ngục,0.5
thế giới ngầm,0.5
siêu năng lực,0.5
đối đầu,0.5
hành trình,0.5
giết chóc,0.5
trả thù,0.5
đội quân,0.5
cháy nổ,0.5
ám sát,0.5
tội ác,0.5
kho báu,0.5
cướp biển,0.5
tội phạm,0.5
điệp viên,0.5
thế giới tương lai,0.5
sự sống còn,0.5
quân đội,0.5
năng lực siêu nhiên,0.5
